City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Salinopolis,BR,78.48,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
413,Bejar,ES,78.19,scattered clouds,40.3864,-5.7634,Posada Puerta Grande
417,Buala,SB,82.11,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
418,Bahia Honda,CU,89.49,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
419,Auki,SB,80.89,clear sky,-8.7676,160.7034,Auki Motel
420,Fukue,JP,80.71,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
421,Harrison,US,89.06,overcast clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
422,Shenjiamen,CN,78.44,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
425,Touros,BR,76.35,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
426,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
428,Bubaque,GW,81.28,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
431,Segovia,ES,78.35,broken clouds,41.1667,-4.0,Complejo de turismo Rural A Toca
434,Garden City,US,76.21,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
436,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
437,Gat,IL,77.68,few clouds,31.61,34.7642,OlusHome
438,Eirunepe,BR,81.77,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
448,Kalmunai,LK,77.9,few clouds,7.4167,81.8167,VS Villa
452,Xunchang,CN,79.93,broken clouds,28.4543,104.715,Jiabin Inn
453,Basco,PH,84.52,broken clouds,20.4487,121.9702,Nathaniel's Lodge
456,Umm Lajj,SA,84.38,overcast clouds,25.0213,37.2685,Moon light Furnished Units
457,Kieta,PG,79.03,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
462,Sokoni,TZ,76.86,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
463,Sulangan,PH,83.07,broken clouds,11.1373,123.7228,Maia's Beach Resort
473,Florence,IT,80.28,clear sky,43.7667,11.25,Hotel Nuova Italia
475,Harper,LR,76.06,overcast clouds,4.375,-7.7169,Screensaver
476,Pacific Grove,US,77.38,few clouds,36.6177,-121.9166,Lovers Point Inn
484,Fort Frances,CA,79.16,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
491,Lata,PT,83.07,broken clouds,40.1629,-8.3327,Casa Maquia
492,Male,MV,82.71,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
502,Sorong,ID,77.07,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
503,Spartanburg,US,82.51,scattered clouds,34.9496,-81.9321,Spartanburg Marriott
506,Kandi,BJ,76.66,overcast clouds,11.1342,2.9386,Hébergement de la Poste
508,Griffith,US,82.31,clear sky,41.5284,-87.4237,Apartment above Depot Bar
513,Flin Flon,CA,86.97,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
515,Sao Filipe,CV,75.06,scattered clouds,14.8961,-24.4956,Hotel Xaguate
519,Sinjar,IQ,88.0,clear sky,36.3209,41.8754,زوماني فون 1
520,Fare,PF,77.79,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
522,North Myrtle Beach,US,84.25,clear sky,33.816,-78.68,Avista Resort
526,Swan River,CA,79.97,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
531,Mogadishu,SO,76.62,light rain,2.0371,45.3438,Hotel Juba
533,Half Moon Bay,US,85.53,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
536,Tuy Hoa,VN,76.46,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
538,Port Blair,IN,81.54,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
539,San Cristobal,VE,78.17,broken clouds,7.7669,-72.225,Pirineos
540,Owensboro,US,89.98,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
541,Belawan,ID,77.29,overcast clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
544,Mount Pleasant,US,82.0,light rain,32.7941,-79.8626,Best Western Patriots Point
547,Maria Aurora,PH,76.32,overcast clouds,15.7967,121.4737,Attic Travellers Inn
552,Porto Novo,BJ,75.45,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
553,Phan Thiet,VN,75.72,overcast clouds,10.9333,108.1,Hotel Saigon-PT
558,Pandan,PH,80.51,broken clouds,14.0453,124.1694,Bonifacio Lodge
565,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Paradise Bay Resort
567,Hue,VN,77.11,scattered clouds,16.4667,107.6,Saigon Morin Hotel
568,Dingle,PH,75.96,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
575,Pakokku,MM,81.14,overcast clouds,21.3333,95.1,Royal Palace Motel
581,Ranong,TH,77.85,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
584,Wuan,CN,80.4,overcast clouds,31.6836,112.0044,武镇大酒店
585,Acarau,BR,79.47,broken clouds,-2.8856,-40.12,castelo pizzaria
